Model,Baseline accuracy,Accuracy,Precision,Recall,F1,Runtime,Diff from base acc,Diff from base precision,Diff from base recall,Diff from base f1,Diff from base runtime
baseline,0.516,0.966,0.962962963,0.966942149,0.964948454,1133.553155,0,0,0,0,0
colbert_doc,0.516,0.961,0.962577963,0.95661157,0.959585492,1274.059635,-0.005,-0.000385,-0.010330579,-0.005362961,140.5064793
baseline_sent,0.516,0.961,0.960662526,0.958677686,0.95966908,1715.643404,-0.005,-0.002300437,-0.008264463,-0.005279374,582.0902485
colbert_sent,0.516,0.961,0.970401691,0.948347107,0.959247649,1998.740468,-0.005,0.007438728,-0.018595041,-0.005700805,865.1873126
colbert_2sent,0.516,0.958,0.947368421,0.966942149,0.957055215,942.1279353,-0.008,-0.015594542,0,-0.007893239,-191.42522
colbert_simple,0.516,0.962,0.986899563,0.933884298,0.959660297,1788.420719,-0.004,0.0239366,-0.033057851,-0.005288156,654.8675638
colbert_full_model,0.516,0.97,0.969008264,0.969008264,0.969008264,40.64826067,0.004,0.006045301,0.002066116,0.004059811,-1092.904895
